ID	NAME
m00132	(9Z,12Z,15Z,18Z)-TTA
m01347	apelin-(1-12)
m00352	13-cis-retinoyl-beta-D-glucuronide
m01076	5beta-cholestan-3alpha,7alpha,12alpha,24(S),27-pentol
m02860	S-(9-deoxy-delta9,12-PGD2)-glutathione
m01014	4-methylpentan-1-ol
m03157	zinc
m02794	prostaglandin H2
m02627	N-tetradecanoylglycylpeptide
m01264	acngalacglcgalgluside heparan sulfate
m00723	3,4-dihydro-1,4-benzothiazine-3-carboxylate
m01737	dopamine-3-O-sulfate
m00927	4-(methylnitrosamino)-1-(1-oxido-3-pyridinyl)-1-butanone
m01373	behenic acid
m01899	G10598
m00997	4-hydroxy-D4-neuroprostane
m00953	4alpha-carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol
m03053	trimethylamine
m01912	galactosylgloboside
m01702	dihydrolipoate
m02479	methylmalonate
m02323	l2fn2m2masn
m00176	(S)-3-hydroxyoleyleoyl-CoA
m01018	4-N-(n-acetyl-D-glucosaminyl)-protein
m00465	1-acylglycerol-3P-8,11-eico
m00498	1-acylglycerol-3P-pentade
m01441	chloral
m02873	salsoline
m00700	3(S)-hydroxy-11-cis-eicosenoyl-CoA
m00814	3-keto-THA-CoA
m00440	1-acylglycerol-3P-11,14-eicosa
m00642	2-hydroxy-17beta-estradiol-4-S-glutathione
m01376	benzo[a]pyrene-7,8-dihydrodiol-9,10-oxide
m00024	(15Z)-tetracosenoylcarnitine
m02301	keratan sulfate II (core 4-linked), degradation product 3
m02781	prostaglandin C2
m02258	keratan sulfate I, degradation product 29
m02257	keratan sulfate I, degradation product 28
m01304	AICAR
m01796	ethanol
m00100	(5Z,8Z,11Z)-eicosatrienoylcarnitine
m02252	keratan sulfate I, degradation product 23
m02251	keratan sulfate I, degradation product 22
m02250	keratan sulfate I, degradation product 21
m02249	keratan sulfate I, degradation product 20
m00815	3-mercaptolactate
m02255	keratan sulfate I, degradation product 26
m01041	5(S)-HpEPE
m02253	keratan sulfate I, degradation product 24
m00036	(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA
m02698	peptide sans lysine
m02381	L-hydroxylysine
m02339	L-arginyl-protein
m01008	4-hydroxyvitamin A1
m02775	propinol adenylate
m01685	D-glucurono-6,3-lactone
m01730	dolichol
m01898	G10597
m00219	[pyruvate dehydrogenase (acetyl transferring)]
m01293	adrenochrome-O-semiquinone
m01623	CTP
m02837	retinyl palmitate
m01849	fuc-3-isoLM1
m01489	cholesterol-ester-cis-vac
m01514	choloyl-CoA
m02299	keratan sulfate II (core 4-linked), degradation product 1
m02700	peptide-2-[3-carboxy-3-(methylammonio)propyl]-L-histidine
m01929	gamma-hydroxy-3-pyridinebutanoate
m00763	3beta-hydroxy-5-cholestenal
m01095	5beta-cholestane-3alpha,7alpha-diol
m02590	nitrosoperoxycarbonate
m01210	8,9-epoxy-(5Z)-tetradecenoic acid
m00044	(2E)-heneicosenoyl-CoA
m01020	4-nitrophenyl-phosphate
m01930	gamma-L-glutamyl-L-alanine
m00375	15(R)-HpEPE
m02288	keratan sulfate II (core 2-linked)
m01656	dehydrodolichol
m01187	7-carboxy-gamma-chromanol
m01092	5beta-cholestane-3alpha,7alpha,12alpha,27-tetraol
m00847	3-oxo-6(R)-hydroxy-tetradec-8-cis-enoate
m01463	cholesterol-ester-13-eicose
m02316	kinetensin 1-8
m02524	N-acetyl-D-mannosamine
m02226	keratan sulfate I biosynthesis, precursor 32
m02118	hexaglutamyl-folate(DHF)
m01003	4-hydroxyphenylacetate
m01153	6,7-dihydro-LTB4
m03090	type I A glycolipid
m02225	keratan sulfate I biosynthesis, precursor 31
m02670	P1,P4-bis(5-adenosyl)-tetraphosphate
m01401	biotin
m00767	3-decaprenyl-4-hydroxybenzoate
m00180	(S)-dihydroorotate
m02566	neuromedin B(1-3)
m01242	9-hydroxybenzo[a]pyrene-4,5-oxide
m02158	hypothiocyanite
m01406	bromobenzene-3,4-dihydrodiol
m00743	3,7,24THCA-CoA
m01921	Gal-Xyl-L-Ser-[protein]
m00019	(13Z)-octadecenoic acid
m01057	5,6-epoxy-13-cis-retinoate
m00810	3-keto-beta-D-galactose
m02663	oxidized adrenal ferredoxin
m00321	12-hetre
m01260	acetylcholine
m02050	hemoglobin
m00932	4-(n-nitrosomethylamino)-1-(3-pyridyl)-1-butanone
m02123	hippurate
m01276	acyl-CoA-LD-TG2 pool
m01741	DPA
m01955	glcnac-alpha-1,4-core 2
m02709	peptidylproline-(omega=0)
m02421	L-tyrosyl-tRNA(tyr)
m01313	allantoin
m02199	IV3NeuAc,III3Fuc-nLc4Cer
m01992	glycogenin G4G7
m01991	glycogenin G4G4
m02511	n2m2nmn
m02137	homovanillate
m01021	4-nitrophenyl-sulfate
m03163	indole-5,6-quinone
m02169	indoleacetate
m00424	18-COOH-LTB4
m00922	3-ureidoisobutyrate
m02409	L-octanoylcarnitine
m00566	2-(S-glutathionyl)acetyl glutathione
m01482	cholesterol-ester-9,12,15,18,21-tetra
m00873	3-oxoheneicosanoyl-CoA
m00263	10,13,16-docosatrienoylcarnitine
m00406	17alpha,21-dihydroxypregnenolone
m03148	xanthine
m00235	1,2-diacylglycerol-LD-PC pool
m01024	4-OH-retinal
m02382	Li+
m00259	10,11-epoxy-(4Z,7Z)-hexadecadienoic acid
m01090	5beta-cholestane-3alpha,7alpha,12alpha,26-tetrol
m02686	PE-NME-LD pool
m01700	dihydrofolate
m02715	PG-CL pool
m01911	galactose-1-phosphate
m00906	3-oxotetradecanoyl-CoA
m01658	dehydrodolichol-phosphate
m01126	5-oxo-ETE
m02754	PNP
m02895	se-methyl-L-selenocysteine
m02038	guanosine
m00166	(R)-methylmalonyl-CoA
m00001	(-)-trans-carveol
m00197	[protein]-L-arginine
m01492	cholesterol-ester-eico
m02689	pentadecanoyl-CoA
m00309	12(S)-HPETE
m01535	chondroitin sulfate C (GalNAc6S-GlcA), degradation product 2
m02359	L-erythrulose
m00948	4,8,12-trimethyltridecanoyl-CoA
m02632	O2-4a-cyclic-tetrahydrobiopterin
m00243	1,2-dihydronaphthalene-1,2-diol
m00989	4-hydroxy-2-oxoglutarate
m02321	L-2-amino-3-oxobutanoic acid
m02707	peptidylglycine
m00595	20-hydroxy-LTB5
m01734	dolichyl-phosphate-D-mannose
m01732	dolichyl-diphosphate
m01867	G00007
m01866	G00006
m01865	G00005
m03034	trans-3-cis-8,11,14-eicosatetraenoyl-CoA
m02871	SAH
m02877	SAM
m01897	G10596
m00805	3-hydroxyundecanoyl-[ACP]
m03151	xanthurenate
m02948	sulfatide
m01830	folate
m01984	glycerone
m00071	(2E)-undecenoyl-CoA
m02938	stearate
m00614	25(R)DHCA-CoA
m01117	5-nitro-gamma-tocopherol
m01479	cholesterol-ester-7-tetrade
m02356	L-dopaquinone
m01255	acetoacetyl-CoA
m01864	G(5)pppR-RNA
m02416	L-seryl-tRNA(ser)
m02758	PPE-NME2-LD pool
m00147	(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B1)
m02282	keratan sulfate II (core 2-linked), degradation product 4
m02991	thiosulfate
m02368	leukotriene D5
m01770	eicosadienoylcarnitine
m01485	cholesterol-ester-9-heptade
m02394	lipoic acid
m02562	neocasomorphin (1-5)
m02144	hydrochloride
m02277	keratan sulfate I, degradation product 9
m02797	prostaglandin-PGB2-glyceryl ester
m02389	linolenate
m02633	OAA
m02318	kinetensin
m00154	(Glc)3 (GlcNAc)2 (Man)9 (PP-Dol)1
m01120	5-oxo-12(R)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA
m02053	henicosanoic acid
m00454	1-acylglycerol-3P-5-tetrade
m01490	cholesterol-ester-dihomo-gamma
m02111	hexacosenoylcarnitine
m01346	APE
m01091	5beta-cholestane-3alpha,7alpha,12alpha,27,27-pentaol
m00878	3-oxohexacosanoyl-CoA
m00635	2-arachidonoylglycerol
m02557	naphthalene-1,2-diol
m01487	cholesterol-ester-9-tetrade
m02588	nitrite
m02188	isoputreanine
m01669	deoxyguanosine
m01657	dehydrodolichol-diphosphate
m01071	5alpha-dihydrotestosterone-sulfate
m01692	dichloroacetyl chloride
m02985	thiamin-PPP
m02975	tetradecenoylcarnitine(7)
m00515	1-alkyl-2-acylglycerophosphoethanolamine
m00057	(2E)-octadecenoyl-CoA
m02951	sulfoglycolithocholate
m02420	L-tryptophanyl-tRNA(trp)
m00139	(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)
m00586	20-COOH-LTE4
m01661	dehydrospermidine
m02320	L-1-pyrroline-3-hydroxy-5-carboxylate
m00792	3-hydroxynonanoyl-CoA
m00149	(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (C)
m00383	15-deoxy-delta-12,14-PGJ2
m00681	2-trans-9,12,15,18-all-cis-tetracosapentaenoyl-CoA
m02583	nicotinamide
m00869	3-oxoeicosa-cis,cis,cis-11,14,17-trienoyl-CoA
m02130	HMA
m03085	tRNA-pseudouridine
m02290	keratan sulfate II (core 4-linked), biosynthesis, precursor 10
m00476	1-acylglycerol-3P-dihomo-gamma
m01578	cis-2-hydroxycinnamate
m01450	cholesterol
m01059	5,6-indolequinone-2-carboxylate
m02337	L-arabinose
m00516	1-alkyl-2-lysoglycerol-3-phosphocholine
m01383	beta-alanine
m01104	5-hydroxyisourate
m02650	omega-COOH-dinor-LTE4-CoA
m03064	tRNA(arg)
m03041	trichloroacetate
m02138	hordenine
m03097	type III H glycolipid
m02612	nonadecanoyl-CoA
m02334	lactosylceramide sulfate
m01640	D-arginine
m00280	11,14,15-THETA
m01086	5beta-cholestane-3alpha,7alpha,12alpha,24r,25-pentol
m02576	N-formylmethionyl-tRNA
m02104	heptaglutamyl-folate(DHF)
m01136	5-S-glutathionyl-aminochrome reduced
m02768	procollagen-L-lysine
m02502	N1,N8-diacetylspermidine
m03020	trans,cis-hexadeca-2,9-dienoyl-CoA
temp003	steroids
m03109	UDP-glucuronate
m01421	carbonate
m01197	7-palmitoleic acid
m01722	DNA-5-methylcytosine
m02268	keratan sulfate I, degradation product 38
m02269	keratan sulfate I, degradation product 39
m02093	heparan sulfate, precursor 7
m02264	keratan sulfate I, degradation product 34
m02265	keratan sulfate I, degradation product 35
m00199	[protein]-L-citrulline
m02267	keratan sulfate I, degradation product 37
m02260	keratan sulfate I, degradation product 30
m02261	keratan sulfate I, degradation product 31
m02262	keratan sulfate I, degradation product 32
m02263	keratan sulfate I, degradation product 33
m01055	5,6-epoxy-(8Z)-tetradecenoic acid
m01199	8(R)-hydroxy-hexadeca-(2E,4E,6E,10Z)-tetraenoate
m01200	8(R)-hydroxy-hexadeca-(2E,6E,10Z)-trienoate
m02906	sialyl-T antigen
m00029	(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic acid
m01839	formyl-N-acetyl-5-methoxykynurenamine
m01295	aflatoxin B1 diol
m01108	5-hydroxy-N-formylkynurenine
m00898	3-oxopentanoyl-[ACP]
m00996	4-hydroxybenzoyl-CoA
m01539	chondroitin sulfate C (GalNAc6S-GlcA), free chain
m01965	glucose
m02956	TAG-chylomicron pool
m02749	phytosphingosine
m00319	12,20-dioxo-LTB4
m01342	anthranilate
m02481	methylthioribose-1p
m00350	13-cis-retinoate
m01627	cysteamine
m01708	dimethylglycine
m01007	4-hydroxy-tolbutamide
m01231	9-cis-retinoate
m00169	(S)-2-aminobutanoate
m03039	trehalose
m01410	butyrate
m00073	(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA
m02973	tetradecanoylcarnitine
m02464	mercaptopyruvate
m01642	dATP
m02042	H2S
m02040	H2O
m00599	20-OH-LTB4
m00473	1-acylglycerol-3P-bile-PC pool
m02346	lc3Cer
m01797	ethanolamine
m02506	N1-methyl-4-pyridone-5-carboxamide
m02151	hydroxymethylbilane
m00301	11-hydroxy-E4-neuroprostane
m00482	1-acylglycerol-3P-hexacosa
m02727	phosphatidate-CL pool
m01407	bromobenzene-3,4-oxide
m00671	2-oxobutyrate
m02007	glyoxalate
m00574	2,5-diamino-6-(5-triphosphoryl-3,4-trihydroxy-2-oxopentyl)-amino-4-oxopyrimidine
m01843	fructose-2,6-bisphosphate
m00398	16,18-oxo-18-CoA-dinor-LTE4
m02390	linolenoyl-CoA
m02569	neuromedin N(1-4)
m00819	3-methoxy-4-hydroxyphenylethyleneglycol
m01016	4-methylthio-2-oxobutanoic acid
m02177	iso-A2E(13-cis)
m02447	maltohexaose
m00114	(6Z,9Z,12Z,15Z,18Z,21Z)-THA
m01385	beta-carotene
m00660	2-methoxyestrone
m01034	4-trimethylammoniobutanal
m00220	[pyruvate dehydrogenase (acetyl transferring)]-phosphate
m00250	1,4-dihydroxynaphthalene
m02984	thiamin-PP
m02429	lysyl-proline
m00983	4-hydroperoxy-2-nonenal
m00072	(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA
m03102	ubiquinol
m01029	4-oxo-9-cis-retinoate
m00451	1-acylglycerol-3P-4,7,10,13,16-docosa
m02804	protoporphyrinogen IX
m01249	acetaldehyde
m01854	fucfucgalacglc13galacglcgal14acglcgalgluside heparan sulfate
m01263	acgalfucgalacglcgal14acglcgalgluside heparan sulfate
m01823	ferricytochrome B5
m03086	tRNA-queuine
m02586	nicotinate
m00275	10-peroxy-docosahexaenoate
m01279	adenine
m02101	heptadecanoyl-CoA
m03023	trans,cis-myristo-2,7-dienoyl-CoA
m02194	IV2Fuc,III4Fuc-Lc4Cer
m01455	cholesterol-ester-11,14,17-eico
m01634	D-3-hydroxydodecanoyl-[ACP]
m02681	PAP
m00770	3-demethylubiquinol-10
m01400	biocytin
m00527	1D-myo-inositol-3,4,5,6-tetrakisphosphate
m02401	L-isoleucyl-tRNA(ile)
m01103	5-hydroxyindoleacetate
m00415	17-hydroperoxy-H4-neuroprostane
m00912	3-phosphoadenylylselenate
m02254	keratan sulfate I, degradation product 25
m00567	2,2-dichloro-1,1-ethanediol
m01069	5-alpha-dihydrotestosterone
m02529	N-acetylglucosamine-6-phosphate
m02656	O-phosphoprotamine
m02740	phospholipids extracellular pool
m02114	hexadecanol
m01217	9(S)-HPODE
m02487	mitothioredoxin
m02522	N-acetyl-D-glucosaminyldiphosphodolichol
m03129	ursodeoxycholate
m01950	GDP-L-fucose
m01363	arachidonyl-carnitine
m02176	iso-A2E(11-cis)
m00611	24-oxo-1alpha,23,25-trihydroxyvitamin D3
m00233	1,2-diacylglycerol-bile-PC pool
m00348	13-cis-oxo-retinoate
m00204	[protein]-L-lysine
m01298	aflatoxin B1-exo-8,9-epoxide
m01775	eicosenoylcarnitine(11)
m03055	trioxilin A3
m03044	trichloroethene
m02618	noradrenochrome
m00644	2-hydroxy-3-methoxy-17beta-estradiol
m03075	tRNA(met)
m02408	L-methionyl-tRNA(met)
m02903	sialyl(2,3)-sialyl(2,6)-galactosylgloboside
m02035	guanidine
m02851	S-(11-hydroxy-9-deoxy-delta12-PGD2)-glutathione
m01550	chondroitin sulfate D (GlcNAc6S-GlcA2S), free chain
m02358	L-erythro-4-hydroxyglutamate
m01862	fumarate
m01160	6-hydroxy-1,2,3,4-tetrahydro-beta-carboline
m03005	trans,cis,cis,cis-2,11,14,17-eicosatetraenoyl-CoA
m00809	3-keto-4-methylzymosterol
m02971	tetracosanoyl-CoA
m01937	gamma-tocopheryl-quinone
m01349	apo-[ACP]
m03122	ureidoglycolate
m00842	3-oxo-13cis-docosenoyl-CoA
m02722	phenylacetylglutamine
m02822	quinolinate
m01871	G00031
m00109	(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoylcarnitine
m00312	12,13-epoxy-9-hydroperoxy-(10E)-octadecenoate
m01598	cob(I)alamin
m02077	heparan sulfate, degradation product 7
m02548	N-acetyl-S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]-L-cysteine
m01895	G10526
m02366	leukotriene C4
m02079	heparan sulfate, degradation product 9
m03113	umbelliferone
m00544	1-nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene
m01109	5-hydroxy-omeprazole
m01934	gamma-linolenoyl-CoA
m00584	20-COOH-18-oxo-LTE4-CoA
m00310	12,13-epoxy-(6Z,9Z)-octadecadienoic acid
m01131	5-phosphoribosylamine
m00354	13-HETE
m02024	GQ1balpha
m01413	Ca2+
m02653	omeprazole
m01975	glutamine
m02601	N-methylhistamine
m02457	mead acid
m01480	cholesterol-ester-8,11,14,17-eico
m01274	acyl-CoA-LD-PS pool
m01957	globin
m00526	1D-myo-inositol-1,4-bisphosphate
m02932	squalene 2,3-oxide
m00221	1-(1,2,3,4,5-pentahydroxypent-1-yl)-1,2,3,4-tetrahydro-beta-carboline-3-carboxylate
m02655	O-phospho-L-homoserine
m00384	15-deoxy-PGD2
m00721	3,3-diiodo-L-thyronine-4-O-sulfate
m01006	4-hydroxyretinoic acid
m02568	neuromedin B
m01497	cholesterol-ester-hexecose
m00141	(alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine
m02570	neuromedin N
m00791	3-hydroxynonanoyl-[ACP]
m00167	(R)-mevalonate
m01662	delta-12-prostaglandin J2
m00323	12-hydroxy-13-O-D-glucuronoside-octadec-(9Z)-enoate
m00052	(2E)-hexenoyl-[ACP]
m02780	prostaglandin C1
m02430	m2emgacpail heparan sulfate
m03142	vitamin D3
m03035	trans-3-decenoyl-CoA
m00127	(9E)-octadecenoyl-CoA
m01752	dTMP
m01599	cob(II)alamin
m02473	methylamine
m02423	L-valyl-tRNA(val)
m02587	nifedipine
m02899	S-glutaryldihydrolipoamide
m00293	11-dehydro-thromboxane B2
m01861	fucosyl-galactosylgloboside
m01626	cys-gly
m02955	tagatose-1,6-bisphosphate
m03136	vanillylmandelate
m00385	15-deoxy-prostaglandin J2
m02141	hyaluronate
m01004	4-hydroxyphenyllactate
m00883	3-oxolaur-6-cis-enoyl-CoA
m01345	antitrypsin
m02564	nervonic acid
m02835	retinoyl-CoA
m02256	keratan sulfate I, degradation product 27
m02036	guanidinoacetate
m00774	3-hydroxyacyl group of bacterial toxin
m02554	NADP+
m02276	keratan sulfate I, degradation product 8
m00102	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine
m02270	keratan sulfate I, degradation product 4
m02273	keratan sulfate I, degradation product 5
m00047	(2E)-heptenoyl-[ACP]
m02275	keratan sulfate I, degradation product 7
m00822	3-methyl-2-oxobutanoate-dehydrogenase
m02237	keratan sulfate I, degradation product 1
m02248	keratan sulfate I, degradation product 2
m02259	keratan sulfate I, degradation product 3
m01595	CO
m00761	3beta,7alpha-dihydroxy-5-cholestenoate
m00356	13-hydroxy-alpha-tocopherol
m00388	15-epi-lipoxin B4
m01275	acyl-CoA-LD-SM pool
m01981	glyceraldehyde
m01715	D-lactaldehyde
m01228	9-carboxy-gamma-tocotrienol
m03049	tridecanoylcarnitine
m03065	tRNA(asn)
m00428	18-hydroxy-arachidonate
m02776	prostaglandin A1
m02697	PE-PS-LD pool
m01562	chondroitin sulfate E (GalNAc4,6diS-GlcA), free chain
m02166	imidazole-4-acetate
m01053	5,6-dihydroxyindole-2-carboxylate
m00826	3-methylcrotonyl-CoA
m02613	nonadecylic acid
m00124	(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine
m01083	5beta-cholestan-7alpha,24(S)-diol-3-one
m00125	(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA
m01068	5alpha-cholesta-8-en-3-one
m03168	3-oxopropionyl-CoA
m01213	8-HETE
m02957	TAG-extraction
m02987	thiocysteine
m00607	23S,25,26-trihydroxyvitamin D3
m03131	V3(NeuAc)2-Gb5Cer
m01574	cis-(3S)-hydroxytetradec-7-enoyl-CoA
m01247	A2PE
m02950	sulfochenodeoxycholate
m02607	NNAL-N-glucuronide
m01362	arachidonate
m00119	(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA
m01644	dCMP
m01023	4-OH-9-cis-retinal
m01777	eicosenoylcarnitine(9)
m01541	chondroitin sulfate C (GalNAc6S-GlcA), precursor 3
m00366	14,15-EET
m00571	2,3-dihydro-2-S-glutathionyl-3-hydroxy bromobenzene
m01282	adenylosuccinate
m01065	5alpha-androstane-3alpha,17beta-diol
m02765	previtamin D3
m01508	cholesterol-ester-tetraco
m00056	(2E)-nonenoyl-CoA
m02999	tiglyl-CoA
m01686	dGMP
m02878	S-aminomethyldihydrolipoamide
m01432	cerotic acid
m01581	cis-beta-D-glucosyl-2-hydroxycinnamate
m01132	5-phosphoribosylformylglycinamidine
m01698	dihydrobiopterin
m02417	L-sorbose
m02662	oxalosuccinate
m03008	trans,cis,cis-2,13,16-docasatrienoyl-CoA
m00474	1-acylglycerol-3P-cis-vac
m02531	N-acetyl-L-asparagine
m02484	mitoACP
m02438	m7G(5')pppR-RNA
m03088	tryptamine
m01429	CDP-glycerol
m00730	3,4-dihydroxyphenylethyleneglycol
m02189	isovaleryl-CoA
m00667	2-methylglutaconyl-CoA
m02542	N-acetylmuramoyl-ala
m00798	3-hydroxypristanoyl-CoA
m02597	nm2masn
m00691	3(S),5(S),12(R)-trihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA
m00870	3-oxoeicosa-cis,cis-11,14-dienoyl-CoA
m00195	[protein C terminal]-S-farnesyl-L-cysteine-methyl ester
m02579	NH4+
m00720	3,3-diiodo-L-thyronine
m01763	dynorphin A-(1-8)
m01409	but-2-enoyl-[ACP]
m00838	3-oxo-10(S)-hydroxy-octadeca-(6E,8E,12Z)-trienoyl-CoA
m01760	D-xylulose-1-phosphate
m01420	carbamoyl-phosphate
m02692	pentaglutamyl-folate(THF)
m01367	arsenite
m02378	L-gulonate
m01632	cytosine
m00771	3-deoxy-D-glycero-D-galacto-2-nonulosonic acid
m01774	eicosatrienoylcarnitine
m02043	H2S2O3
m02005	glycylpeptide
m03135	valine
m02195	IV2Fuc-Lc4Cer
m02862	S-(PGA1)-glutathione
m02055	heparan sulfate, degradation product 1
m02066	heparan sulfate, degradation product 2
m02073	heparan sulfate, degradation product 3
m02074	heparan sulfate, degradation product 4
m02075	heparan sulfate, degradation product 5
m02076	heparan sulfate, degradation product 6
m01736	dopamine
m02078	heparan sulfate, degradation product 8
m01825	ferrocytochrome B5
m02424	L-xylonate
m01554	chondroitin sulfate E (GalNAc4,6diS-GlcA) proteoglycan
m01237	9-heptadecenoyl-CoA
m00459	1-acylglycerol-3P-7,10,13,16,19-docosa
m02968	testosterone sulfate
m00533	1-hydroperoxy-8-carboxyoctyl-3,4-epoxynon-(2E)-enyl-ether
m02533	N-acetyl-L-cystathionine
m02391	linoleoyl-CoA
m01043	5-(S-L-cysteinyl)-dopaquinone
m00850	3-oxo-8(R)-hydroxy-hexadeca-(6E,10Z)-dienoate
m02966	tauroursodeoxycholate
m02454	mannose-1-phosphate
m02821	quinidine
m01980	glutathionyl-leukotriene C4
m01966	glucose-1,6-bisphosphate
m01660	dehydroepiandrosterone
m01301	aflatoxin M1-8,9-epoxide
m02478	methyl-indole-3-acetate
m00988	4-hydroxy-2-nonenal
m00020	(13Z)-octadecenoyl-CoA
m00592	20-hydroxycholesterol
m01389	beta-D-glucose-6-phosphate
m03156	Xyl-L-Ser-[protein]
m01855	fucfucgalacglcgal14acglcgalgluside heparan sulfate
m00395	15-oxo-prostaglandin E2-glyceryl ester
m00621	25-hydroxyvitamin D3-26,23-lactol
m00292	11-cis-retinyl-palmitate
m00468	1-acylglycerol-3P-9-eicose
m03091	type I B glycolipid
m03043	trichloroethanol
m02493	myo-inositol-polyphosphate
m02172	inositol-1,3-bisphosphate
m00135	(9Z,12Z,15Z,18Z,21Z)-TPA
m00446	1-acylglycerol-3P-13-docose
m01962	glucosamine
m01783	emgacpail heparan sulfate
m01683	D-gluconic acid
m02994	thromboxane A2
m01257	acetyl adenylate
m00463	1-acylglycerol-3P-7-tetrade
m01793	estrone-3,4-quinone
m03073	tRNA(leu)
m00420	18,20-dioxo-20-CoA-LTB4
m01576	cis,cis-myristo-5,8-dienoyl-CoA
m01925	gamma-glutamyl-3-aminopropiononitrile
m02855	S-(2-hydroxyethyl)glutathione
m02512	n3m2masn
m00561	2-(alpha-hydroxyethyl)thiamine-diphosphate
m02734	phosphatidylinositol-3,4,5-trisphosphate
m01119	5-oxo-12(R)-hydroxy-eicosa-(2E,8E,10E,14Z)-tetraenoyl-CoA
m01674	dephospho-CoA
m01727	docosenoylcarnitine
m01070	5alpha-dihydrotestosterone-glucuronide
m00488	1-acylglycerol-3P-LD-PS pool
m01800	etiocholanolone
m02905	sialyl-galactosylgloboside
m00669	2-oxo-3-methylvalerate
m00404	16-peroxy-docosahexaenoate
m00618	25(S)THCA-CoA
m00783	3-hydroxyhexacosanoyl-CoA
m02665	oxidized ferredoxin
m01049	5,12-dihydroxy-(6E)-LTB5
m02044	haptoglobin
m02729	phosphatidate-LD-PE pool
m00828	3-monoiodo-L-thyronine
m01073	5-amino-2-oxopentanoic acid
m02365	leukotriene B5
m01689	DHA
m00504	1-acylglycerol-LD-PC pool
m00686	3(R)-hydroxy-(4R,8R,12R)-trimethyl-tridecanoyl-CoA
m02029	GT1aalpha
m00055	(2E)-nonenoyl-[ACP]
m01294	aflatoxin B1 dialdehyde
